resourceId;rs;difficulty_rank;question;explanation;errorRate;responseTime;answers
1;699;1;"[[""latex"",""1+1""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.05;3500;1041
2;699;1;"[[""latex"",""2-1""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.05;3713;824
3;699;1;"[[""latex"",""1+2""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.05;3398;859
4;699;1;"[[""latex"",""3-2""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.07;4300;845
5;699;1;"[[""latex"",""1+3""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.04;3900;834
6;699;1;"[[""latex"",""4-3""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.08;4250;808
7;699;1;"[[""latex"",""1+4""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.05;3450;838
8;699;1;"[[""latex"",""5-4""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.06;4250;814
9;699;1;"[[""latex"",""1+5""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.04;4100;847
10;699;1;"[[""latex"",""6-5""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.05;4243;827
11;699;1;"[[""latex"",""1+6""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.06;3800;842
12;699;1;"[[""latex"",""7-6""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.05;4425;817
13;699;1;"[[""latex"",""1+7""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.05;3950;794
14;699;1;"[[""latex"",""8-7""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.07;4472;823
15;699;1;"[[""latex"",""1+8""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.05;3901;854
16;699;1;"[[""latex"",""9-8""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.06;4325;804
17;699;1;"[[""latex"",""1+9""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.05;4350;821
18;699;1;"[[""latex"",""10-9""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.07;3844;871
19;699;1;"[[""latex"",""2+1""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.03;3450;830
20;699;1;"[[""latex"",""3-1""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.08;4000;852
21;699;1;"[[""latex"",""2+2""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.04;3539;870
22;699;1;"[[""latex"",""4-2""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.05;4300;861
23;699;1;"[[""latex"",""2+3""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.05;4200;818
24;699;1;"[[""latex"",""5-3""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.06;4900;852
25;699;1;"[[""latex"",""2+4""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.09;5150;818
26;699;1;"[[""latex"",""6-4""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.09;5350;881
27;699;1;"[[""latex"",""2+5""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.06;4744;838
28;699;1;"[[""latex"",""7-5""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.08;5254;879
29;699;1;"[[""latex"",""2+6""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.09;5502;838
30;699;1;"[[""latex"",""8-6""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.11;6650;833
31;699;1;"[[""latex"",""2+7""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.11;5475;829
32;699;1;"[[""latex"",""9-7""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.14;6700;807
33;699;1;"[[""latex"",""2+8""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.09;5700;868
34;699;1;"[[""latex"",""10-8""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.09;5250;846
35;699;1;"[[""latex"",""3+1""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.04;3950;869
36;699;1;"[[""latex"",""4-1""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.07;3950;860
37;699;1;"[[""latex"",""3+2""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.06;4039;833
38;699;1;"[[""latex"",""5-2""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.06;4850;857
39;699;1;"[[""latex"",""3+3""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.05;3500;865
40;699;1;"[[""latex"",""6-3""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.08;4800;851
41;699;1;"[[""latex"",""3+4""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.08;5324;852
42;699;1;"[[""latex"",""7-4""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.1;6735;782
43;699;1;"[[""latex"",""3+5""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.07;4750;800
44;699;1;"[[""latex"",""8-5""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.09;6050;828
45;699;1;"[[""latex"",""3+6""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.1;5691;771
46;699;1;"[[""latex"",""9-6""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.15;7250;862
47;699;1;"[[""latex"",""3+7""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.11;5965;842
48;699;1;"[[""latex"",""10-7""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.11;5700;842
49;699;1;"[[""latex"",""4+1""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.05;3564;840
50;699;1;"[[""latex"",""5-1""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.06;3900;851
51;699;1;"[[""latex"",""4+2""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.07;4950;833
52;699;1;"[[""latex"",""6-2""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.09;5397;830
53;699;1;"[[""latex"",""4+3""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.1;5200;846
54;699;1;"[[""latex"",""7-3""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.11;6240;871
55;699;1;"[[""latex"",""4+4""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.05;3850;827
56;699;1;"[[""latex"",""8-4""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.08;5106;808
57;699;1;"[[""latex"",""4+5""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.06;4700;859
58;699;1;"[[""latex"",""9-5""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.08;5150;802
59;699;1;"[[""latex"",""4+6""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.1;5975;877
60;699;1;"[[""latex"",""10-6""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.09;6000;827
61;699;1;"[[""latex"",""5+1""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.04;3800;870
62;699;1;"[[""latex"",""6-1""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.06;3750;807
63;699;1;"[[""latex"",""5+2""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.07;4350;820
64;699;1;"[[""latex"",""7-2""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.08;4750;858
65;699;1;"[[""latex"",""5+3""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.07;4874;866
66;699;1;"[[""latex"",""8-3""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.07;5258;842
67;699;1;"[[""latex"",""5+4""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.08;4700;821
68;699;1;"[[""latex"",""9-4""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.1;5400;823
69;699;1;"[[""latex"",""5+5""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.05;3950;856
70;699;1;"[[""latex"",""10-5""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.03;4200;837
71;699;1;"[[""latex"",""6+1""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.05;4110;850
72;699;1;"[[""latex"",""7-1""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.07;4300;853
73;699;1;"[[""latex"",""6+2""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.08;4800;817
74;699;1;"[[""latex"",""8-2""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.09;5850;853
75;699;1;"[[""latex"",""6+3""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.11;5605;827
76;699;1;"[[""latex"",""9-3""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.13;6400;842
77;699;1;"[[""latex"",""6+4""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.1;5350;827
78;699;1;"[[""latex"",""10-4""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.09;5096;797
79;699;1;"[[""latex"",""7+1""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.06;3972;852
80;699;1;"[[""latex"",""8-1""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.07;4650;816
81;699;1;"[[""latex"",""7+2""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.08;5350;844
82;699;1;"[[""latex"",""9-2""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.09;6350;829
83;699;1;"[[""latex"",""7+3""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.1;5900;843
84;699;1;"[[""latex"",""10-3""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.11;5555;836
85;699;1;"[[""latex"",""8+1""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.04;3900;857
86;699;1;"[[""latex"",""9-1""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.06;4100;812
87;699;1;"[[""latex"",""8+2""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.1;5000;831
88;699;1;"[[""latex"",""10-2""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.1;5225;813
89;699;1;"[[""latex"",""9+1""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.06;4400;834
90;699;1;"[[""latex"",""10-1""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.05;3950;864
91;701;1;"[[""latex"",""6+5""],[""input"",{""answer"":[""11""],""style"":""separate""}]]";;0.09;5836;683
92;701;2;"[[""latex"",""7+4""],[""input"",{""answer"":[""11""],""style"":""separate""}]]";;0.11;8050;695
93;701;2;"[[""latex"",""7+5""],[""input"",{""answer"":[""12""],""style"":""separate""}]]";;0.16;8729;565
94;701;2;"[[""latex"",""7+6""],[""input"",{""answer"":[""13""],""style"":""separate""}]]";;0.13;10876;615
95;701;1;"[[""latex"",""8+4""],[""input"",{""answer"":[""12""],""style"":""separate""}]]";;0.09;6300;647
96;701;2;"[[""latex"",""8+5""],[""input"",{""answer"":[""13""],""style"":""separate""}]]";;0.13;10250;599
97;701;2;"[[""latex"",""8+6""],[""input"",{""answer"":[""14""],""style"":""separate""}]]";;0.16;12100;576
98;701;2;"[[""latex"",""8+7""],[""input"",{""answer"":[""15""],""style"":""separate""}]]";;0.12;10383;589
99;701;2;"[[""latex"",""9+4""],[""input"",{""answer"":[""13""],""style"":""separate""}]]";;0.09;8250;576
100;701;1;"[[""latex"",""9+5""],[""input"",{""answer"":[""14""],""style"":""separate""}]]";;0.11;7100;592
101;701;1;"[[""latex"",""9+6""],[""input"",{""answer"":[""15""],""style"":""separate""}]]";;0.13;7181;641
102;701;1;"[[""latex"",""9+7""],[""input"",{""answer"":[""16""],""style"":""separate""}]]";;0.12;7825;626
103;701;2;"[[""latex"",""9+8""],[""input"",{""answer"":[""17""],""style"":""separate""}]]";;0.12;10150;579
104;701;1;"[[""latex"",""10+4""],[""input"",{""answer"":[""14""],""style"":""separate""}]]";;0.05;4290;619
105;701;1;"[[""latex"",""10+5""],[""input"",{""answer"":[""15""],""style"":""separate""}]]";;0.05;4250;581
106;701;1;"[[""latex"",""10+6""],[""input"",{""answer"":[""16""],""style"":""separate""}]]";;0.07;5086;642
107;701;1;"[[""latex"",""10+7""],[""input"",{""answer"":[""17""],""style"":""separate""}]]";;0.07;4725;639
108;701;1;"[[""latex"",""10+8""],[""input"",{""answer"":[""18""],""style"":""separate""}]]";;0.06;4550;601
109;701;1;"[[""latex"",""10+9""],[""input"",{""answer"":[""19""],""style"":""separate""}]]";;0.06;4800;626
110;701;1;"[[""latex"",""11-1""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.07;4450;614
111;701;1;"[[""latex"",""11-2""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.05;6546;604
112;701;2;"[[""latex"",""11-3""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.16;10075;608
113;701;1;"[[""latex"",""11+4""],[""input"",{""answer"":[""15""],""style"":""separate""}]]";;0.13;6600;634
114;701;2;"[[""latex"",""11-4""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.14;11133;599
115;701;1;"[[""latex"",""11+5""],[""input"",{""answer"":[""16""],""style"":""separate""}]]";;0.08;6850;619
116;701;1;"[[""latex"",""11-5""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.18;8271;625
117;701;1;"[[""latex"",""11+6""],[""input"",{""answer"":[""17""],""style"":""separate""}]]";;0.12;6625;618
118;701;2;"[[""latex"",""11-6""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.12;9875;611
119;701;1;"[[""latex"",""11+7""],[""input"",{""answer"":[""18""],""style"":""separate""}]]";;0.12;6125;632
120;701;2;"[[""latex"",""11-7""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.17;12325;577
121;701;1;"[[""latex"",""11+8""],[""input"",{""answer"":[""19""],""style"":""separate""}]]";;0.13;6728;608
122;701;2;"[[""latex"",""11-8""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.16;11250;578
123;701;1;"[[""latex"",""11+9""],[""input"",{""answer"":[""20""],""style"":""separate""}]]";;0.14;7400;623
