id;parent;alternativeParents;prereq;alternativeName;name;nameMenu;title;description;ogimage;url;urlShortcut;comicStrip;specs;image;visible;ordering
1;0;;;;Aritmetika;;;;;aritmetika;FT7;;{"icon":15350};;1;0
2;0;;;;Zlomky, procenta, desetinná čísla;Zlomky, procenta;;;;zlomky_procenta_desetinna;FT9;;{"icon":15344};;1;0
3;0;;;;Geometrie;;;;;geometrie;FUA;;{"icon":15349};;1;0
4;0;;;;Elementární algebra;;;;;rovnice_funkce_vyrazy;FUB;;{"icon":15351};;1;0
5;0;;;;Jednotky, míry;;;;;jednotky_miry;FUC;;{"icon": 15346};;1;9
6;0;;;;Statistika a práce s daty;;;;;statistika_prace_s_daty;FUD;;{"icon":15345};;0;12
7;1;;;;Čísla;;;;;cviceni-cisla;FUE;;;;1;1
8;1;;;;Sčítání a odčítání: základy;;;;;cviceni-scitani-a-odcitani;FUF;;;;1;2
9;1;;;;Násobení a dělení;;;;;cviceni-nasobeni-a-deleni;FUG;;;;1;4
10;1;;;;Počítání: kombinace operací;;;;;cviceni-pocitani-kombinace-operaci;FUH;;;;1;5
11;1;;;Celá čísla;Kladná a záporná čísla;;;;;cviceni-cela-cisla;FUL;;;;1;6
12;1;;;;Dělitelnost;;;;;cviceni-delitelnost-rozcestnik;FUM;;;;1;7
13;1;;;;Mocniny a odmocniny;;;Procvičování mocnin a odmocnin na nejoblíbenějším procvičovacím webu. Rozsáhlá sbírka příkladů od jednoduchých až po obtížné, pestré formy cvičení.;;cviceni-mocniny-odmocniny;FUO;;;;1;8
14;1;;;;Číselné soustavy;;;;;cviceni-ciselne-soustavy;FUP;;;;1;10
15;7;;162;;Počítání do 100;;;;;cviceni-pocitani-do-100;FUR;;;;1;4
16;7;;15;;Porovnávání čísel do 100;;;;;cviceni-porovnavani-cisel-do-100;FUS;;;;1;5
17;8;;101, 195;;Sčítání a odčítání do 20;;;;;cviceni-scitani-a-odcitani-do-20;FUT;;;;1;4
18;213;;17,15;;Sčítání a odčítání od 20 do 100;;;;;cviceni-scitani-a-odcitani-nad-20;FUU;;;;1;1
19;213;;155;Písemné sčítání;Sčítání pod sebou;;;;;cviceni-scitani-pod-sebou;FUV;;;;1;3
20;213;;19;Písemné odčítání;Odčítání pod sebou;;;;;cviceni-odcitani-pod-sebou;FUW;;;;1;4
21;9;;18;;Malá násobilka;;;Procvičování malé násobilky na nejoblíbenějším výukovém webu: psaní odpovědi, výběr možností, pexeso a další netradiční hry. Atraktivní zpracování, mnoho příkladů.;;cviceni-mala-nasobilka;FUX;[["img", 11677, {"size": 70}]];;;1;1
22;9;;21;;Dělení jednociferné;;;;;cviceni-deleni-jednociferne;FUZ;;;;1;4
23;9;;22;;Dělení se zbytkem;;;Procvičování dělení se zbytkem na nejoblíbenějším výukovém webu: psaní odpovědi, výběr možností, pexeso a další netradiční hry. Atraktivní zpracování, mnoho příkladů.;;cviceni-deleni-se-zbytkem;FU1;[["img", 11630, {"size": 60}]];;;1;5
24;9;;21;;Násobení víceciferné;;;;;cviceni-nasobeni-viceciferne;FU2;;;;1;2
25;10;;21, 22,279;Přednost početních operací;Pořadí operací, závorky;;;;;cviceni-poradi-operaci-zavorky;FU3;;;;1;2
27;11;;103,25;;Počítání se zápornými čísly;;;;;cviceni-pocitani-se-zapornymi-cisly;FU4;;;;1;3
28;11;;27;;Výrazy s absolutní hodnotou;;;;;cviceni-vyrazy-s-absolutni-hodnotou;FU6;;;;1;5
30;12;;15;;Sudé, liché;;;;;cviceni-sude-liche;FU7;;;;1;1
31;12;;23, 30;;Podmínky dělitelnosti;;;;;cviceni-delitelnost;FU9;;;;1;2
32;12;;31;;Prvočísla;;;;;cviceni-prvocisla;FVA;;;;1;3
33;13;;;;Mocniny a odmocniny: mix;;;;;cviceni-mocniny-odmocniny-mix;FVB;;;;1;8
34;13;;166;;Výrazy s mocninami a odmocninami;;;;;cviceni-vyrazy-s-mocninami-a-odmocninami;FVC;;;;1;3
35;272;;167;;Logaritmus: výpočet;;;;;cviceni-logaritmy-vypocet;FVD;;;;1;1
36;14;;;;Římské číslice;;;;;cviceni-rimska-cisla;FVE;[["img", 12682, {"size": 60}]];;;1;1
37;14;;;;Binární čísla;;;;;cviceni-binarni-cisla;FVF;;;;1;2
38;2;;;;Zlomky;;;Procvičování zlomků: obrázky, názorná cvičení, hry. Všechna důležitá témata: poznávání zlomků, krácení, sčítání zlomků, smíšená čísla, vztahy s desetinnými čísly a procenty, rovnice se zlomky a mnoho dalšího.;;cviceni-zlomky;FVG;[["img", 12679, {"size": 50}]];;;1;1
39;2;;;;Procenta;;;Procvičování procent. Atraktivní zpracování z obrázky. Rozsáhlá sbírka příkladů. Pestrá cvičení: psaní odpovědi, výběr možností, pexeso, hry, testy.;;cviceni-procenta;FVH;[["img", 11633, {"size": 50}]];;;1;2
40;2;;;;Desetinná čísla;;;Procvičování desetinných čísel na nejoblíbenějším výukovém webu. Rozsáhlá sbírka příkladů. Pestrá cvičení: psaní odpovědi, výběr možností, pexeso, hry, testy.;;cviceni-desetinna-cisla;FVJ;;;;1;3
41;38;;15;Určování zlomků;Poznávání zlomků;;;;;cviceni-zlomky-poznavani;FVK;;;;1;1
42;38;;41, 120;;Porovnávání zlomků;;;;;cviceni-zlomky-porovnavani;FVL;;;;1;3
43;38;;211,41;;Krácení zlomků;;;;;cviceni-zlomky-kraceni;FVM;[["img", 12684, {"size": 60}]];;;1;4
44;38;;41, 43, 212;;Sčítání a odčítání zlomků;;;Příklady na sčítání a odčítání zlomků. Cvičení online, mnoho různých způsobů procvičování: psaní odpovědí, výběr z možností, pexeso, závody na čas.;;cviceni-zlomky-scitani-a-odcitani;FVN;[["img", 11632, {"size": 90}]];;;1;6
45;38;;43;;Násobení a dělení zlomků;;;;;cviceni-zlomky-nasobeni-a-deleni;FVO;;;;1;7
46;39;;41;;Procenta: poznávání;;;;;cviceni-procenta-poznavani;FVP;;;;1;1
47;39;;46;;Počítání s procenty;;;;;cviceni-pocitani-s-procenty;FVR;[["img", 12681, {"size": 50}]];;;1;2
48;39;38;41, 46;;Zlomky a procenta;;;;;cviceni-zlomky-a-procenta;FVS;;;;1;3
49;40;;20, 119, 121;;Sčítání a odčítání desetinných čísel;;;;;cviceni-desetinna-cisla-scitani-a-odcitani;FVT;;;;1;5
50;40;;24, 49;;Násobení desetinných čísel;;;;;cviceni-nasobeni-desetinnych-cisel;FVU;;;;1;6
51;40;38;41, 119;;Zlomky a desetinná čísla;;;Převod zlomku na desetinné číslo, převod desetinného čísla na zlomek - vysvětlení, příklady, procvičování, úlohy.;;cviceni-zlomky-a-desetinna-cisla;FVV;;;;1;9
53;3;;;;Obsah a obvod;;;;;cviceni-obsah-obvod;FVW;;;;1;5
54;3;;;;Objem a povrch;;;;;cviceni-objem-povrch;FVX;[["img", 11629, {"size": 70}]];;;1;6
55;3;;;;Úhly;;;Procvičování úhlů na nejoblíbenějším výukovém webu. Pestrá cvičení: psaní odpovědi, výběr možností, hry. Rozsáhlá sbírka příkladů, pěkně zpracované obrázky.;;cviceni-uhly;FVZ;;;;1;7
56;3;;;;Operace a vlastnosti v rovině;;;;;cviceni-operace-a-vlastnosti-v-rovine;FV1;;;;1;9
57;346;;;;Pythagorova věta;;;Procvičování Pythagorovy věty na nejoblíbenějším výukovém webu. Různé způsoby procvičování: práce s nákresem, slovní úlohy. Dostatek příkladů, k dispozici jsou i vysvětlení řešení.;;cviceni-pythagorova-veta;FV2;[["img", 13059, {"size": 60}]];;;1;5
58;224;;;Trigonometrické funkce;Goniometrické funkce;;;Procvičování goniometrických funkcí na inteligentním výukovém webu. Rozsáhlá sbírka příkladů, rozmanité úlohy včetně interaktivních grafů.;;cviceni-goniometricke-funkce;FV3;;;;1;5
59;161;;;;Názvy geometrických útvarů a těles;;;;;cviceni-nazvy-utvaru;FV4;;;;1;1
60;174;;59;;Počty vrcholů, stěn, hran;;;;;cviceni-pocty-vrcholu-stran-hran;FV6;;;;1;4
61;53;;;;Obsah (na mřížce);;;;;cviceni-obsah-na-mrizce;FV7;;;;1;2
62;53;;;;Délka a obvod (na mřížce);;;;;cviceni-obvod-na-mrizce;FV9;;;;1;1
63;55;;;;Poznávání úhlů;;;;;cviceni-poznavani-uhlu;FWA;;;;1;1
65;225;;;;Souřadnice bodů;;;;;cviceni-souradnice-bodu-v-rovine;FWC;;;;1;1
66;56;;;;Osová souměrnost;;;Procvičování osové souměrnosti na nejoblíbenějším výukovém webu. Atraktivní obrázková zadání, různé způsoby procvičování, dostatek příkladů.;;cviceni-osova-soumernost;FWD;[["img", 11634, {"size": 70}]];;;1;1
67;56;;307;;Podobnost;;;;;cviceni-podobnost;FWE;;;;1;5
68;56;;;;Otočení;;;;;cviceni-rotace;FWF;;;;1;3
69;58;;157;;Goniometrické funkce a pravoúhlý trojúhelník;;;;;cviceni-goniometricke-funkce-a-pravouhly-trojuhelnik;FWG;;;;1;1
70;225;58;69,75;;Grafy goniometrických funkcí;;;;;cviceni-grafy-goniometrickych-funkci;FWH;;;;1;5
71;224;;;;Lineární funkce;;;;;cviceni-linearni-funkce;FWJ;;;;1;3
72;224;;;;Kvadratické funkce;;;;;cviceni-kvadraticke-funkce;FWK;;;;1;4
73;4;;;;Rovnice;;;Procvičování rovnic na inteligentním výukovém webu. Rozsáhlá sbírka příkladů, všechny hlavní typy rovnic. Dostupná vysvětlení, řešení krok po kroku.;;cviceni-rovnice;FWL;;;;1;2
74;73;71;233;;Základní rovnice s jednou neznámou;;;;;cviceni-reseni-linearni-rovnice;FWM;[["img", 12678, {"size": 55}]];;;1;2
75;225;71;83,87;;Grafy lineárních funkcí;;;;;cviceni-graf-linearni-funkce;FWN;;;;1;2
76;225;;75;;Grafy lineárních nerovnic;;;;;cviceni-graf-linearni-nerovnice;FWO;;;;1;7
77;225;;75,28;;Grafy funkcí s absolutní hodnotou;;;;;cviceni-grafy-funkci-s-absolutni-hodnotou;FWP;;;;1;4
78;73;;74, 83;Soustava dvou lineárních rovnic;Dvě rovnice o dvou neznámých;;;Procvičování řešení soustavy dvou rovnic. Příklady na různé postupy: sčítací metoda, dosazovací metoda. Rozpis řešení krok po kroku.;;cviceni-soustava-2-linearnich-rovnic;FWR;;;;1;10
79;73;72;74, 80;;Kvadratické rovnice;;;Procvičování řešení kvadratických rovnic. Různé způsoby procvičování: hledání řešení, slovní úlohy, rozpis řešení krok po kroku. Příklady na různé postupy: diskriminant, Vietovy vzorce, ryzí rovnice.;;cviceni-reseni-kvadraticke-rovnice;FWS;;;;1;11
80;225;72;75;;Grafy kvadratických funkcí;;;;;cviceni-graf-kvadraticke-funkce;FWT;[["img", 11676, {"size": 70}]];;;1;3
81;275;72;80,285;;Rovnice kuželoseček;;;;;cviceni-rovnice-kuzelosecek;FWU;;;;1;2
82;137;;140, 83;;Úpravy výrazů s více proměnnými;;;;;cviceni-upravy-vyrazu-s-mnohocleny;FWV;;;;1;4
83;137;;25;;Dosazování do výrazů;;;;;cviceni-dosazovani-do-vyrazu;FWW;;;;1;1
85;6;;;;Grafy a tabulky;;;;;cviceni-grafy-a-tabulky;FWX;;;;1;0
86;183;;;;Popisná statistika;;;;;cviceni-popisna-statistika;FWZ;;;;1;5
87;85;;292;;Spojnicové grafy;;;;;cviceni-spojnicove-grafy;FW1;;;;1;5
88;85;;15;;Tabulky: základní porozumění;;;;;cviceni-interpretace-tabulek;FW2;;;;1;1
89;5;;;;Čas;;;;;cviceni-cas;FW3;;;;1;1
90;5;;;;Jednotky;;;Procvičování jednotek na nejoblíbenějším výukovém webu: převody jednotek, příklady z běžného života. Pestrá cvičení: psaní odpovědi, výběr možností, hry. Rozsáhlá sbírka příkladů.;;cviceni-jednotky;FW4;;;;1;2
91;89;;15;;Hodiny: určování času;;;;;cviceni-hodiny-urcovani-casu;FW6;;;;1;1
92;89;;91,23;;Počítání s časem;;;;;cviceni-pocitani-s-casem;FW7;;;;1;3
93;90;;;;Jednotky délky;;;Procvičování jednotek délky na nejoblíbenějším výukovém webu: převody jednotek, příklady z běžného života. Pestrá cvičení: psaní odpovědi, výběr možností, hry. Rozsáhlá sbírka příkladů.;;cviceni-jednotky-delky;FW9;[["img",  11635, {"size": 70}]];;;1;1
94;90;;;;Jednotky hmotnosti;;;Procvičování jednotek hmotnosti na nejoblíbenějším výukovém webu: převody jednotek, příklady z běžného života. Pestrá cvičení: psaní odpovědi, výběr možností, hry. Rozsáhlá sbírka příkladů.;;cviceni-jednotky-hmotnosti;FXA;;;;1;2
95;0;;;;Řešení problémů;;;;;reseni-problemu;FXB;;;;0;20
96;95;;;;Hledání cesty;;;;;cviceni-hledani-cesty;FXC;;;;1;1
101;8;;162;;Sčítání a odčítání do 10;;;;;cviceni-scitani-a-odcitani-do-10;FXD;;;;1;1
103;11;196;195,120;Kladná a záporná čísla na číselné ose;Číselná osa: kladná a záporná čísla;;;;;cviceni-ciselna-osa-cela-cisla;FXE;;;;1;2
106;8;;;;Sčítání a odčítání: základy mix;;;;;cviceni-scitani-a-odcitani-mix;FXF;;;;1;6
107;9;;;;Násobení a dělení: mix;;;;;cviceni-nasobeni-a-deleni-mix;FXG;;;;1;10
108;10;;;;Kombinace operací: mix;;;;;cviceni-kombinace-operaci-mix;FXH;;;;1;8
109;11;;;Celá čísla: mix;Kladná a záporná čísla: mix;;;;;cviceni-zaporna-cisla-mix;FXJ;;;;1;100
110;12;;;;Dělitelnost: mix;;;;;cviceni-delitelnost-mix;FXK;;;;1;6
111;38;;;;Zlomky: mix;;;;;cviceni-zlomky-mix;FXL;;;;1;14
112;39;;;;Procenta: mix;;;;;cviceni-procenta-mix;FXM;;;;1;4
113;40;;;;Desetinná čísla: mix;;;;;cviceni-desetinna-cisla-mix;FXN;;;;1;12
114;89;;;;Čas: mix;;;;;cviceni-cas-mix;FXO;;;;1;4
115;53;;;;Obsah, obvod: mix;;;;;cviceni-obsah-obvod-mix;FXP;;;;1;20
116;71;;;;Lineární funkce: mix;;;;;cviceni-linearni-funkce-mix;FXR;;;;1;4
118;38;196;103,41;;Zlomky na číselné ose;;;;;cviceni-ciselna-osa-zlomky;FXS;;;;1;2
119;40;196;103, 232;;Desetinná čísla na číselné ose;;;;;cviceni-ciselna-osa-desetinna-cisla;FXT;;;;1;4
120;11;;16;Porovnávání celých čísel;Porovnávání kladných a záporných čísel;;;;;cviceni-porovnavani-celych-cisel;FXU;;;;1;1
121;40;;120,119;;Porovnávání desetinných čísel;;;;;cviceni-porovnavani-desetinnych-cisel;FXV;;;;1;2
122;174;;60,261;;Sítě těles;;;;;cviceni-site-teles;FXW;;;;1;6
125;10;;274;;Přibližné počítání;;;;;cviceni-priblizne-pocitani;FXX;;;;1;6
126;90;;93;;Jednotky obsahu;;;;;cviceni-jednotky-obsahu;FXZ;;;;1;4
127;90;;93,126;;Jednotky objemu;;;Procvičování jednotek objemu na nejoblíbenějším výukovém webu: převody jednotek, příklady z běžného života. Pestrá cvičení: psaní odpovědi, výběr možností, hry. Rozsáhlá sbírka příkladů.;;cviceni-jednotky-objemu;FX1;;;;1;5
128;55;346;63;;Úhly v trojúhelníku;;;;;cviceni-uhly-v-trojuhelniku;FX2;;;;1;2
129;56;;66;;Středová souměrnost;;;Procvičování středové souměrnosti na nejoblíbenějším výukovém webu. Atraktivní obrázková zadání, různé způsoby procvičování, dostatek příkladů.;;cviceni-stredova-soumernost;FX3;;;;1;2
130;183;;;;Kombinatorika;;;Kombinatorika v příkladech: pojmy, výpočty, slovní úlohy, hravé úlohy. Praktické procvičování online.;;cviceni-kombinatorika;FX4;;;;1;3
135;130;;;;Kombinatorika: mix;;;;;cviceni-kombinatorika-mix;FX6;;;;1;5
136;130;;190;;Kombinační čísla;;;;;cviceni-kombinacni-cisla;FX7;;;;1;3
137;4;;;;Algebraické výrazy a jejich úpravy;;;;;cviceni-vyrazy-a-jejich-upravy;FX9;;;;1;1
138;137;38;140, 44, 45;;Úpravy výrazů se zlomky;;;;;cviceni-upravy-vyrazu-se-zlomky;FZA;;;;1;5
139;137;;82, 138;;Lomené výrazy;;;;;cviceni-lomene-vyrazy;FZB;;;;1;6
140;137;;74;;Úpravy výrazů s jednou proměnnou;;;;;cviceni-upravy-vyrazu-s-1-neznamou;FZC;;;;1;3
