id;parent;type;name;shortName;shortcut;explanation;specs;aggregationType
1;0;category;[["latex","6"]];;scitani_a_odcitani_6;;;basic
2;0;category;[["latex","7"]];;scitani_a_odcitani_7;;;basic
3;0;category;[["latex","8"]];;scitani_a_odcitani_8;;;basic
4;0;category;[["latex","9"]];;scitani_a_odcitani_9;;;basic
5;0;category;[["latex","10"]];;scitani_a_odcitani_10;;;basic
6;0;category;[["latex","11"]];;scitani_a_odcitani_11;;;basic
7;0;category;[["latex","12"]];;scitani_a_odcitani_12;;;basic
8;0;category;[["latex","13"]];;scitani_a_odcitani_13;;;basic
9;0;category;[["latex","14"]];;scitani_a_odcitani_14;;;basic
10;0;category;[["latex","15"]];;scitani_a_odcitani_15;;;basic
11;0;category;[["latex","16"]];;scitani_a_odcitani_16;;;basic
12;0;category;[["latex","17"]];;scitani_a_odcitani_17;;;basic
13;0;category;[["latex","18"]];;scitani_a_odcitani_18;;;basic
14;0;category;[["latex","19"]];;scitani_a_odcitani_19;;;basic
15;0;category;[["latex","20"]];;scitani_a_odcitani_20;;;basic
16;0;category;[["latex","1"]];;scitani_a_odcitani_1;;;basic
17;0;category;[["latex","2"]];;scitani_a_odcitani_2;;;basic
18;0;category;[["latex","3"]];;scitani_a_odcitani_3;;;basic
19;0;category;[["latex","4"]];;scitani_a_odcitani_4;;;basic
20;0;category;[["latex","5"]];;scitani_a_odcitani_5;;;basic
21;0;category;[["latex","1"]];;deleni_do_100_vysledek_pod_10_1;;;basic
22;0;category;[["latex","2"]];;deleni_do_100_vysledek_pod_10_2;;;basic
23;0;category;[["latex","3"]];;deleni_do_100_vysledek_pod_10_3;;;basic
24;0;category;[["latex","4"]];;deleni_do_100_vysledek_pod_10_4;;;basic
25;0;category;[["latex","5"]];;deleni_do_100_vysledek_pod_10_5;;;basic
26;0;category;[["latex","6"]];;deleni_do_100_vysledek_pod_10_6;;;basic
27;0;category;[["latex","7"]];;deleni_do_100_vysledek_pod_10_7;;;basic
