word,level_OXFORD,level_CEFR,level_CEFR_J
April,A1,A1,A1
August,A1,A1,A1
CD,A1,A1,A1
DVD,A1,A1,A1
December,A1,A1,A1
February,A1,A1,A1
Friday,A1,A1,A1
I,A1,A1,A1
January,A1,A1,A1
July,A1,A1,A1
June,A1,A1,A1
March,A1,A1,A1
May,A1,A1,A1
Monday,A1,A1,A1
November,A1,A1,A1
OK,A1,A1,A1
October,A1,A1,A1
Saturday,A1,A1,A1
September,A1,A1,A1
Sunday,A1,A1,A1
T-shirt,A1,A1,A1
TV,A1,A1,A1
Thursday,A1,A1,A1
Tuesday,A1,A1,A1
Wednesday,A1,A1,A1
a,A1,A1,A1
about,A1,A1,A1
above,A1,A1,A1
address,A1,A1,A1
after,A1,A1,A1
afternoon,A1,A1,A1
again,A1,A1,A1
age,A1,A1,A1
all,A1,A1,A1
also,A1,A1,A1
always,A1,A1,A1
an,A1,A1,A1
and,A1,A1,A1
animal,A1,A1,A1
answer,A1,A1,A1
any,A1,A1,A1
anything,A1,A1,A1
apple,A1,A1,A1
arm,A1,A1,A1
as,A1,A1,A1
ask,A1,A1,A1
at,A1,A1,A1
baby,A1,A1,A1
back,A1,A1,A1
bad,A1,A1,A1
bag,A1,A1,A1
ball,A1,A1,A1
banana,A1,A1,A1
band,A1,A1,A1
bank,A1,A1,A1
bath,A1,A1,A1
bathroom,A1,A1,A1
be,A1,A1,A1
beach,A1,A1,A1
beautiful,A1,A1,A1
because,A1,A1,A1
bed,A1,A1,A1
bedroom,A1,A1,A1
before,A1,A1,A1
begin,A1,A1,A1
behind,A1,A1,A1
below,A1,A1,A1
best,A1,A1,A1
better,A1,A1,A1
between,A1,A1,A1
big,A1,A1,A1
bird,A1,A1,A1
birthday,A1,A1,A1
black,A1,A1,A1
blue,A1,A1,A1
boat,A1,A1,A1
body,A1,A1,A1
book,A1,A1,A1
boring,A1,A1,A1
both,A1,A1,A1
box,A1,A1,A1
boy,A1,A1,A1
bread,A1,A1,A1
breakfast,A1,A1,A1
brother,A1,A1,A1
brown,A1,A1,A1
bus,A1,A1,A1
business,A1,A1,A1
but,A1,A1,A1
butter,A1,A1,A1
buy,A1,A1,A1
bye,A1,A1,A1
cake,A1,A1,A1
camera,A1,A1,A1
can,A1,A1,A1
car,A1,A1,A1
carry,A1,A1,A1
cat,A1,A1,A1
chair,A1,A1,A1
change,A1,A1,A1
cheese,A1,A1,A1
child,A1,A1,A1
chocolate,A1,A1,A1
choose,A1,A1,A1
cinema,A1,A1,A1
city,A1,A1,A1
class,A1,A1,A1
classroom,A1,A1,A1
clean,A1,A1,A1
clock,A1,A1,A1
close,A1,A1,A1
clothes,A1,A1,A1
coat,A1,A1,A1
coffee,A1,A1,A1
cold,A1,A1,A1
colour,A1,A1,A1
come,A1,A1,A1
computer,A1,A1,A1
conversation,A1,A1,A1
cook,A1,A1,A1
course,A1,A1,A1
cow,A1,A1,A1
cup,A1,A1,A1
dad,A1,A1,A1
dance,A1,A1,A1
dancing,A1,A1,A1
dark,A1,A1,A1
date,A1,A1,A1
daughter,A1,A1,A1
day,A1,A1,A1
dear,A1,A1,A1
desk,A1,A1,A1
dictionary,A1,A1,A1
different,A1,A1,A1
difficult,A1,A1,A1
dinner,A1,A1,A1
do,A1,A1,A1
doctor,A1,A1,A1
dog,A1,A1,A1
dollar,A1,A1,A1
door,A1,A1,A1
down,A1,A1,A1
draw,A1,A1,A1
dress,A1,A1,A1
drink,A1,A1,A1
drive,A1,A1,A1
driver,A1,A1,A1
each,A1,A1,A1
ear,A1,A1,A1
early,A1,A1,A1
easy,A1,A1,A1
eat,A1,A1,A1
egg,A1,A1,A1
eight,A1,A1,A1
eighteen,A1,A1,A1
eleven,A1,A1,A1
email,A1,A1,A1
end,A1,A1,A1
enjoy,A1,A1,A1
evening,A1,A1,A1
every,A1,A1,A1
example,A1,A1,A1
excited,A1,A1,A1
exciting,A1,A1,A1
expensive,A1,A1,A1
eye,A1,A1,A1
face,A1,A1,A1
family,A1,A1,A1
famous,A1,A1,A1
farm,A1,A1,A1
fast,A1,A1,A1
fat,A1,A1,A1
father,A1,A1,A1
favourite,A1,A1,A1
feel,A1,A1,A1
fifteen,A1,A1,A1
find,A1,A1,A1
fine,A1,A1,A1
finish,A1,A1,A1
first,A1,A1,A1
fish,A1,A1,A1
five,A1,A1,A1
flat,A1,A1,A1
floor,A1,A1,A1
flower,A1,A1,A1
fly,A1,A1,A1
food,A1,A1,A1
football,A1,A1,A1
for,A1,A1,A1
four,A1,A1,A1
fourteen,A1,A1,A1
friend,A1,A1,A1
from,A1,A1,A1
fruit,A1,A1,A1
fun,A1,A1,A1
funny,A1,A1,A1
game,A1,A1,A1
garden,A1,A1,A1
get,A1,A1,A1
girl,A1,A1,A1
give,A1,A1,A1
glass,A1,A1,A1
go,A1,A1,A1
good,A1,A1,A1
great,A1,A1,A1
green,A1,A1,A1
grey,A1,A1,A1
group,A1,A1,A1
guitar,A1,A1,A1
hair,A1,A1,A1
hand,A1,A1,A1
happy,A1,A1,A1
hard,A1,A1,A1
hat,A1,A1,A1
have,A1,A1,A1
he,A1,A1,A1
head,A1,A1,A1
hear,A1,A1,A1
hello,A1,A1,A1
help,A1,A1,A1
her,A1,A1,A1
here,A1,A1,A1
hi,A1,A1,A1
him,A1,A1,A1
his,A1,A1,A1
holiday,A1,A1,A1
home,A1,A1,A1
homework,A1,A1,A1
horse,A1,A1,A1
hospital,A1,A1,A1
hot,A1,A1,A1
hotel,A1,A1,A1
hour,A1,A1,A1
house,A1,A1,A1
how,A1,A1,A1
